;Regioner_y;Fall_2020_x
0;Blekinge;5
1;Dalarna;0
2;Gotland;0
3;Gavleborg;2
4;Halland;0
5;Jamtland;0
6;Jonkoping;1
7;Kalmar;0
8;Kronoberg;0
9;Norrbotten;1
10;Skane;2
11;Stockholm;16
12;Sodermanland;1
13;Uppsala;4
14;Varmland;1
15;Vasterbotten;0
16;Vasternorrland;1
17;Vastmanland;0
18;Vastra Gotaland;9
19;Orebro;2
20;Ostergotland;1
21;Totalt;46
;;
;Regioner_y;Fall_2019_x
0;Blekinge;6
1;Dalarna;3
2;Gotland;2
3;Gavleborg;2
4;Halland;6
5;Jamtland;0
6;Jonkoping;5
7;Kalmar;2
8;Kronoberg;0
9;Norrbotten;1
10;Skane;20
11;Stockholm;99
12;Sodermanland;2
13;Uppsala;32
14;Varmland;2
15;Vasterbotten;6
16;Vasternorrland;0
17;Vastmanland;0
18;Vastra Gotaland;25
19;Orebro;14
20;Ostergotland;5
21;Totalt;232
;;
;y;2018
;Blekinge;2
;Dalarna;1
;Gotland;0
;Gavleborg;2
;Halland;5
;Jamtland;6
;Jonkoping;4
;Kalmar;2
;Kronoberg;2
;Norrbotten;2
;Skane;24
;Stockholm;146
;Sodermanland;44
;Uppsala;13
;Varmland;5
;Vasterbotten;95
;Vasternorrland;3
;Vastmanland;4
;Vastra Gotaland;45
;Orebro;39
;Ostergotland;0
;Totalt;444
;;
;y;2017
;Blekinge;2
;Dalarna;2
;Gotland;1
;Gavleborg;4
;Halland;19
;Jamtland;0
;Jonkoping;2
;Kalmar;0
;Kronoberg;7
;Norrbotten;0
;Skane;17
;Stockholm;93
;Sodermanland;0
;Uppsala;7
;Varmland;21
;Vasterbotten;0
;Vasternorrland;0
;Vastmanland;14
;Vastra Gotaland;30
;Orebro;23
;Ostergotland;2
;Totalt;244
;;
;y;2016
;Blekinge;2
;Dalarna;2
;Gotland;1
;Gavleborg;7
;Halland;3
;Jamtland;0
;Jonkoping;6
;Kalmar;3
;Kronoberg;1
;Norrbotten;12
;Skane;23
;Stockholm;48
;Sodermanland;0
;Uppsala;13
;Varmland;1
;Vasterbotten;5
;Vasternorrland;0
;Vastmanland;13
;Vastra Gotaland;24
;Orebro;1
;Ostergotland;0
;Totalt;165
;;
;y;2015
;Blekinge;0
;Dalarna;0
;Gotland;0
;Gavleborg;9
;Halland;4
;Jamtland;0
;Jonkoping;4
;Kalmar;4
;Kronoberg;4
;Norrbotten;0
;Skane;25
;Stockholm;56
;Sodermanland;0
;Uppsala;8
;Varmland;3
;Vasterbotten;3
;Vasternorrland;0
;Vastmanland;0
;Vastra Gotaland;22
;Orebro;15
;Ostergotland;0
;Totalt;157
;;
;y;2014
;Blekinge;1
;Dalarna;1
;Gotland;0
;Gavleborg;214
;Halland;2
;Jamtland;2
;Jonkoping;7
;Kalmar;1
;Kronoberg;14
;Norrbotten;1
;Skane;25
;Stockholm;56
;Sodermanland;2
;Uppsala;38
;Varmland;3
;Vasterbotten;4
;Vasternorrland;0
;Vastmanland;1
;Vastra Gotaland;20
;Orebro;3
;Ostergotland;7
;Totalt;402
;;
;y;2013
;Blekinge;1
;Dalarna;0
;Gotland;0
;Gavleborg;90
;Halland;1
;Jamtland;0
;Jonkoping;5
;Kalmar;3
;Kronoberg;7
;Norrbotten;2
;Skane;19
;Stockholm;45
;Sodermanland;0
;Uppsala;6
;Varmland;1
;Vasterbotten;0
;Vasternorrland;1
;Vastmanland;0
;Vastra Gotaland;42
;Orebro;0
;Ostergotland;4
;Totalt;227
;;
;y;2012
;Blekinge;1
;Dalarna;0
;Gotland;0
;Gavleborg;0
;Halland;10
;Jamtland;0
;Jonkoping;15
;Kalmar;3
;Kronoberg;4
;Norrbotten;1
;Skane;10
;Stockholm;85
;Sodermanland;1
;Uppsala;2
;Varmland;1
;Vasterbotten;0
;Vasternorrland;0
;Vastmanland;1
;Vastra Gotaland;17
;Orebro;0
;Ostergotland;1
;Totalt;152
;;
;y;2011
;Blekinge;0
;Dalarna;1
;Gotland;1
;Gavleborg;1
;Halland;4
;Jamtland;1
;Jonkoping;3
;Kalmar;2
;Kronoberg;1
;Norrbotten;1
;Skane;17
;Stockholm;40
;Sodermanland;1
;Uppsala;0
;Varmland;2
;Vasterbotten;0
;Vasternorrland;37
;Vastmanland;2
;Vastra Gotaland;6
;Orebro;0
;Ostergotland;2
;Totalt;122
;;
;y;2010
;Blekinge;0
;Dalarna;1
;Gotland;0
;Gavleborg;1
;Halland;13
;Jamtland;0
;Jonkoping;3
;Kalmar;3
;Kronoberg;0
;Norrbotten;7
;Skane;6
;Stockholm;55
;Sodermanland;0
;Uppsala;10
;Varmland;1
;Vasterbotten;2
;Vasternorrland;60
;Vastmanland;41
;Vastra Gotaland;8
;Orebro;2
;Ostergotland;1
;Totalt;214